kapitel,kapitel-text,jahr
0713,Bundesgerichtshof,2021
0714,Der Generalbundesanwalt beim Bundesgerichtshof,2021
0715,Bundesverwaltungsgericht,2021
0716,Bundesfinanzhof,2021
0717,Bundespatentgericht,2021
0718,Bundesamt für Justiz,2021
0719,Deutsches Patent- und Markenamt,2021
0801,Wiedergutmachungen des Bundes,2021
0802,Lasten im Zusammenhang mit dem Aufenthalt bzw. Abzug von ausländischen Streitkräften,2021
0803,Finanzierung der Nachfolgeeinrichtungen der Treuhandanstalt,2021
0810,Sonstige Bewilligungen,2021
0811,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0812,Bundesministerium,2021
0813,Zollverwaltung,2021
0815,Bundeszentralamt für Steuern,2021
0816,Informationstechnikzentrum Bund,2021
0901,"Innovation, Technologie und Neue Mobilität",2021
0902,"Mittelstand: Gründen, Wachsen, Investieren",2021
0903,Energie und Nachhaltigkeit,2021
0904,Chancen der Globalisierung,2021
0910,Sonstige Bewilligungen,2021
